url;depth;status;inbound;outbound;external;content_type;title;error
https://project-design.pl/;0;200;7;8;6;text/html;Projektowanie Wnętrz Toruń - Projekty Wnętrz;
https://project-design.pl/aranzacje-wnetrz;1;200;7;7;6;text/html;Aranżacje Wnętrz Toruń - Mieszkań, Domów | Project Design;
https://project-design.pl/architekci-wnetrz;1;200;7;7;6;text/html;Architekci Wnętrz Toruń - Architektura Wnętrz;
https://project-design.pl/polityka-prywatnosci;1;200;7;7;7;text/html;Polityka Prywatności - Project Design Toruń;
https://project-design.pl/portfolio;1;404;1;0;0;"text/html; charset=utf-8";404 Not Found;
https://project-design.pl/projektowanie-mebli;1;200;7;7;2;text/html;Projektowanie Mebli Toruń - Meble na Wymiar;
https://project-design.pl/realizacje;1;200;7;7;2;text/html;Realizacje - Portfolio Projektów Wnętrz | Project Design Toruń;
https://project-design.pl/regulamin;1;200;7;7;4;text/html;Regulamin Serwisu - Project Design Toruń;
https://project-design.pl/studio-projektowania-wnetrz;1;200;7;7;6;text/html;Studio Projektowania Wnętrz Toruń - Biuro Projektowania;
